Data,ID_SKU,ID_Sklepu,Prognoza_Sprzedazy
2026-03-02,SKU-F001,PLN-020,444.03
2026-03-02,SKU-F001,PLN-024,223.57
2026-03-02,SKU-F001,PLN-048,177.74
2026-03-02,SKU-F001,PLN-050,222.57
2026-03-02,SKU-F001,PLN-078,102.21
2026-03-02,SKU-F001,PLN-092,91.12
2026-03-02,SKU-F001,PLN-106,211.06
2026-03-02,SKU-F001,PLN-115,61.86
2026-03-02,SKU-F001,PLN-118,233.01
2026-03-02,SKU-F001,PLN-124,131.14
2026-03-02,SKU-F001,PLN-132,129.7
2026-03-02,SKU-F001,PLN-136,81.55
2026-03-02,SKU-F002,PLN-020,549.53
2026-03-02,SKU-F002,PLN-024,302.13
2026-03-02,SKU-F002,PLN-048,315.95
2026-03-02,SKU-F002,PLN-050,294.76
2026-03-02,SKU-F002,PLN-078,160.61
2026-03-02,SKU-F002,PLN-092,129.82
2026-03-02,SKU-F002,PLN-106,249.28
2026-03-02,SKU-F002,PLN-115,115.97
2026-03-02,SKU-F002,PLN-118,456.66
2026-03-02,SKU-F002,PLN-124,228.97
2026-03-02,SKU-F002,PLN-132,213.29
2026-03-02,SKU-F002,PLN-136,143.16
2026-03-02,SKU-F003,PLN-020,496.98
2026-03-02,SKU-F003,PLN-024,367.72
2026-03-02,SKU-F003,PLN-048,368.11
2026-03-02,SKU-F003,PLN-050,347.93
2026-03-02,SKU-F003,PLN-078,184.75
2026-03-02,SKU-F003,PLN-092,177.58
2026-03-02,SKU-F003,PLN-106,256.97
2026-03-02,SKU-F003,PLN-115,130.0
2026-03-02,SKU-F003,PLN-118,388.01
2026-03-02,SKU-F003,PLN-124,242.56
2026-03-02,SKU-F003,PLN-132,179.56
2026-03-02,SKU-F003,PLN-136,118.61
2026-03-02,SKU-F005,PLN-020,533.44
2026-03-02,SKU-F005,PLN-024,352.78
2026-03-02,SKU-F005,PLN-048,339.47
2026-03-02,SKU-F005,PLN-050,333.07
2026-03-02,SKU-F005,PLN-078,150.93
2026-03-02,SKU-F005,PLN-092,134.9
2026-03-02,SKU-F005,PLN-106,220.8
2026-03-02,SKU-F005,PLN-115,118.65
2026-03-02,SKU-F005,PLN-118,376.56
2026-03-02,SKU-F005,PLN-124,263.8
2026-03-02,SKU-F005,PLN-132,219.48
2026-03-02,SKU-F005,PLN-136,104.16
2026-03-02,SKU-F006,PLN-020,757.13
2026-03-02,SKU-F006,PLN-024,466.96
2026-03-02,SKU-F006,PLN-048,396.21
2026-03-02,SKU-F006,PLN-050,396.09
2026-03-02,SKU-F006,PLN-078,224.47
2026-03-02,SKU-F006,PLN-092,218.73
2026-03-02,SKU-F006,PLN-106,391.74
2026-03-02,SKU-F006,PLN-115,164.61
2026-03-02,SKU-F006,PLN-118,554.02
2026-03-02,SKU-F006,PLN-124,276.52
2026-03-02,SKU-F006,PLN-132,227.76
